evaluation,C,epsilon,gamma,mae,std_mae,rmse,std_rmse,r2,std_r2
random_search,4211.264956761636,0.771320643266746,0.007130039292226528,1.2392119597640572,0.0447428865688078,1.6095968317570482,0.05449144677934147,0.9122786328937844,0.008867117301593598
random_search,27.988337720328808,0.30793495262497084,0.0001377343148676959,1.608240404563216,0.07203853120038041,2.097430265616589,0.11488461839448708,0.851555553568504,0.0115655392881242
random_search,7.032048553760578,0.1802696888767692,4.643144203057548e-05,2.4867172905060397,0.1391436928341729,3.2391740619704783,0.2290339033450698,0.646176927461736,0.03264677397583501
random_search,100.10416288717003,0.4257214105188958,0.000375604448922559,1.2363548709372822,0.0213762023721275,1.6575274793385115,0.04758509377064097,0.9070283762619162,0.008927041973186726
random_search,5.301595294570531,0.15416284237967237,3.717437963373345e-05,2.766926911527159,0.12094503849875295,3.6059308781823445,0.22204525245660386,0.5617549313281467,0.030047408453283797
random_search,2664.4876264095333,0.7290137422891191,0.00497278823702722,1.2360370374024503,0.05847625884056194,1.593370039314987,0.05549742745854486,0.9140290031414885,0.00887112632937269
random_search,4512.324246146038,0.7777024105738202,0.007528316845253351,1.2421673495945131,0.04367790640311676,1.6151854227513769,0.0544766223978719,0.9116632496559168,0.008984669570986911
random_search,11449.387737139077,0.8637599855700829,0.01566831440231295,1.4054893264292556,0.05715657017264834,1.8422438554901863,0.06180355697079122,0.8850805566126183,0.011890433882226855
random_search,260.0185644946316,0.5139433437726902,0.0007962712079728972,1.1372311189879691,0.04032710713645754,1.5209311542096788,0.07113065569307567,0.9213592023467008,0.012190032180988158
random_search,9740.222967643118,0.8488176972685787,0.013795936964383233,1.3608866340255632,0.056282160933262555,1.781351465020716,0.06271801055432195,0.8925221437395281,0.011530348181487298
random_search,11.200517351450229,0.22329107915353885,6.69802869897199e-05,2.0937127207078126,0.15725908835763627,2.743059217886237,0.24363219362124477,0.7459941931200419,0.0331395286517539
