method,space,seed,eval_index,C,epsilon,gamma,mae,std_mae,rmse,std_rmse,r2,std_r2
random,narrow,5,6,1512.665725125383,0.5555961169207234,1.6784461468427568e-05,1.3671870637774206,0.12834947466197807,1.8048118712825887,0.16423395857434492,0.8898901600797208,0.014263218714199147
random,narrow,5,7,18.860054670651518,0.06421443731219101,0.017939209612061566,1.4192547115348115,0.11084160155937901,1.881762569856182,0.20044182370565145,0.8810535222894513,0.009234327094537167
random,narrow,5,8,1554.0094347192176,0.2273185251609081,0.016536030750139458,1.3787868339243652,0.08870802000862808,1.8187675192718822,0.14948888701265886,0.8885967850003453,0.006870712536140583
random,narrow,5,9,16131.859001017703,0.01851721767021075,0.016835455615807838,1.3847735933775667,0.0945305948867404,1.8225535641501196,0.15191124267116304,0.8881699730856074,0.006418834761554698
random,narrow,5,10,2111.0593789227805,0.5033639655536645,1.0102703182524506e-05,1.378495380821796,0.12606429609337155,1.8172464582647305,0.16221478223709382,0.8883897780695593,0.013961675883808125
random,narrow,5,11,112.69000030238354,0.32494264457560607,5.647108656103494e-05,1.5317393264564791,0.13335353445315803,1.9899484829753433,0.19476052018152346,0.866697291169672,0.012635421430604752
random,narrow,5,12,6143.016156363892,0.1490385835335558,0.0001480971766442578,1.1347430571995896,0.11644133675641843,1.5636017658880832,0.20985754012158805,0.9144553639153988,0.032690665156512186
random,narrow,5,13,1915.520879265996,0.798939490963134,0.0004561956862798514,1.1519063466364063,0.10189174300333655,1.4818094844885865,0.10727250824321065,0.9248868819279312,0.01609391465284118
random,narrow,5,14,12.784530052997088,0.7998795260549534,0.0001523610104339584,1.8038127205217513,0.15541951470492044,2.3310603804069445,0.2617889426188376,0.8175174940426999,0.017284948545228173
random,narrow,5,15,241.37816142758555,0.2361941283958635,0.0007466256930808718,1.1214847987046714,0.10407768785841395,1.5127547202739078,0.13033905562559717,0.9221608081931858,0.013906097432683921
random,narrow,5,16,1.1703224751460821,0.08582579108682997,0.028311782565686158,2.335594472224252,0.2815304201762612,3.1406767860770683,0.4603680362458244,0.6693044343879078,0.04791621235571179
random,narrow,5,17,9338.684341444368,0.9510229811957994,0.0002294984825977863,1.1742221394573422,0.09848666885141338,1.492192591159755,0.12055811976256174,0.9233905467701042,0.019214292802943667
random,narrow,5,18,75.31601324364827,0.5561597755338971,0.029098533196497585,1.6986588538597238,0.176560870138021,2.276585808704311,0.2922053879805858,0.8259825160421489,0.02105784098584048
random,narrow,5,19,13.439673081286305,0.6743897148867628,0.005527089765234071,1.228428413198171,0.09580546477467636,1.6180913463258306,0.14044007208789044,0.9113775761761838,0.012440734936166889
random,narrow,5,20,1640.8155750086382,0.2218885591644547,0.0005196038917731873,1.1257422990396697,0.11180002170102629,1.4954733345660445,0.13262208879098356,0.923367952434182,0.018126583406398063
random,narrow,5,21,1027.4448021646235,0.6922222746448299,2.4895498907585276e-05,1.3739491345761552,0.12599579945690526,1.805692734924468,0.16304405698953459,0.889825319110016,0.013692544724188047
random,narrow,5,22,967.5279367283267,0.7985233458061055,0.0002470065890066529,1.1773536217070866,0.10014969776774495,1.557934602927504,0.13004197371053652,0.9175851371895932,0.013258448200321597
random,narrow,5,23,8.160558676774677,0.797933886097021,0.00027816072528094105,1.7552733888121341,0.15056975807802203,2.2711861334424475,0.2549747005857011,0.8267909004928395,0.016004032576428188
random,narrow,5,24,61.35392541407792,0.6125178041653119,0.0043482994518442356,1.1882885713318323,0.07250334215111819,1.5502261567996696,0.09339907306581557,0.9180476291787091,0.014921116139615893
random,narrow,5,25,26407.990598906144,0.7236762546507963,0.046578170913404014,2.171229513434059,0.25005255132583526,2.88313110478922,0.38347323123429816,0.7210096754492407,0.03526970889562787
random,narrow,5,26,6320.228745998493,0.7128902625665684,3.6765725075004376e-05,1.2470514205720526,0.10342097017658594,1.6600567831333364,0.1352448907271555,0.9064081160242712,0.015010123210702412
random,wide,1,0,404.0123326162769,0.14415961271963373,4.500345682595963,4.329249726039285,0.28973031292017115,5.4667472526010386,0.4352697733961103,-0.005201576055730151,0.006787630736831038
random,wide,1,1,3450205.985299934,0.42332644897257565,0.00015234217932118358,1.483000294220854,0.1263841223884486,2.021734318107465,0.45137839666384083,0.8505112648261427,0.09277500689836381
random,wide,1,2,281399.5148726082,0.5495936876730595,0.0007318026108494001,1.3032010771529783,0.01757370253598389,1.6389054712914586,0.048232595776770276,0.9080290052458485,0.01709978253377909
random,wide,1,3,0.017702394677817958,0.5381433132192782,0.18818792806069345,4.301857231872143,0.3107944180004524,5.4896257214110165,0.46982227235171414,-0.01289408664746854,0.013670725036871667
random,wide,1,4,9.280800741686154,0.303194829291645,0.3303702439271509,4.2563948758136485,0.28755977605861693,5.400528701761228,0.44574358445292916,0.01936287491329729,0.007720892329523675
random,wide,1,5,120.63713241572559,0.40311298644712923,8.675447395284994e-06,1.973952127174763,0.195775782523481,2.572585872307978,0.3172945952443587,0.7778069236306366,0.02585637086635217
random,wide,1,6,0.6777931354613034,0.7503646726300526,6.857935293219146e-05,3.6732765873327202,0.2891183906685598,4.707974076141747,0.46049811394990264,0.25588896105573844,0.029282794433887805
random,wide,1,7,3.339479808044895,0.9807371998012386,0.0024907883228393202,1.4755838671441992,0.13404817456634133,1.94133524096608,0.21615451586706735,0.8731606676371617,0.014359980266519653
random,wide,1,8,4517672.485372567,0.5412268555474342,0.11844850548471193,3.4974280953739703,0.24604636398592258,4.502553667933278,0.42232437900324477,0.31889853367530313,0.02968451335232945
random,wide,1,9,3.1047085410296495,0.9699254132161326,1.3321835340632695e-05,3.7289646485988426,0.2899492478279265,4.774378345761959,0.4602811307777694,0.2346597333541392,0.02789685656920404
random,wide,1,10,441.18147662369597,0.6234897555375004,6.472309658335572e-06,1.7179634820428298,0.14405735753603685,2.2242190788177174,0.24046089948403748,0.8337686867003852,0.01550481481817224
random,wide,1,11,97757.03686006085,0.9172977047909027,0.019544434424727156,1.5349955021844777,0.11697918063173654,2.027016426707578,0.21061887826845363,0.8617370437652523,0.013322741544760179
random,wide,1,12,0.022716210790478336,0.4593358828854037,0.005013313262287451,3.865549783595364,0.3001445825093605,4.957336443288173,0.46870680444143875,0.17479292817891062,0.025045294274586682
random,wide,1,13,0.036403757470936035,0.8526328384806567,0.03085298471247413,4.170976046652949,0.3027210333936563,5.326504900791523,0.46036727105201075,0.04650877555582713,0.0140559161998692
random,wide,1,14,2170.047113993684,0.8398815210314088,6.617319960692679e-05,1.2643991114056674,0.10675374781875925,1.6733035801980218,0.13874402760693483,0.9049929784939996,0.014719233819339001
random,wide,1,15,385.00195400458904,0.7530302077021779,0.003768965753422928,1.2157272667569639,0.05157475533707121,1.5783264790070564,0.07401014564348175,0.9147511114872409,0.016932996307388877
random,wide,1,16,0.21443630839327954,0.6832869060032571,0.5462444454598346,4.302520608482376,0.3071742281130811,5.483477781811155,0.46343975635561085,-0.010747389408081332,0.01159143313604164
